job_title,company_name,location,time_posted,num_applicants,Seniority Level,Employment Type,Job Function,Industries,job_description
"Data Analyst, Empowerment",RiseBoro Community Partnership,"Brooklyn, NY",1 hour ago,,Entry level,Full-time,Information Technology,Non-profit Organization Management,"Job DetailsJob Location1875 BROADWAY - BROOKLYN, NYPosition TypeFull TimeEducation LevelAssociatesSalary Range$31.00 - $35.00 HourlyTravel PercentageNoneDescriptionESSENTIAL DUTIES AND RESPONSIBILITIESThe Data Analyst will report to the Director of Operations and support the overall project management responsibilities associated with the Home 4 Good. The Data Analyst will play a critical role in tracking, analyzing, and maintaining data related to client referrals, program activities, outcome metrics, and achievement. The Data Analyst will be responsible for ensuring timely, accurate reporting of program activities and progress, generating reports for internal and external stakeholders to illustrate program progress, tracking achievement of KPIs and program outcomes, and providing administrative support to the social service teams around data gathering and tracking. They will work closely with RiseBoro's Vice President and Director of Operations in the overall management of Home 4 Good's activities and goals.Their Responsibilities IncludeMaintain and complete monthly and quarterly reports for contracted outcome payors and funders using data tracked and stored by Housing Navigators and Financial Coaches Work alongside program managers and social service teams to ensure outcome metrics and KPIs are tracked accurately and consistentlyCreate mechanisms or processes to generate a variety of reports, both in Salesforce and on other tracking platforms, to support the visibility of outcomes and program performanceEnsure data integrity in the Salesforce tracking system by conducting regular assessments and working with consultants and RiseBoro's IT department to ensure corrective measures are takenIdentify and correct data entry errors among tracking systems, including SalesforceAssist in preparing Quarterly Stakeholder Meetings and other ad hoc stakeholder meetings by aggregating and presenting data around outcomes, KPIs, and other key metricsCoordinate with Enterprise Community Partners and 3x3 during validation events to resolve any data-gathering issues.Perform other data-related or general administrative tasks, as needed or requested by the supervisorCOMPETENCIESProficiency in Salesforce or similar data tracking systems is a plus.Strong data analytical and organizational abilities.Ability to create professional, accurate, and detailed reports for stakeholders at all levels. Excellent interpersonal skills and a commitment to fostering a collaborative and productive workplace.Strong attention to detail and comfort in asking questions and flagging concerns to ensure data accuracy.Strong interpersonal skills and commitment to a collegial and productive workplace.Experience in data management, tracking, and reporting is required. Familiarity with housing programs or nonprofit organizations is a plus.Education ExperienceBachelor's degree in data analysis, social services, business administration, or a related field preferredAssociate's degree plus two years of experience in a related field requiredQualificationsIt is the policy of RiseBoro to provide equal employment opportunity to all employees and applicants for employment. No individual will be discriminated against on the basis of race, color, age, creed, religion, national origin, citizenship status, political or union affiliation, marital or partnership status, sex, sexual orientation or affectional preference, gender identity, familial status, genetic information or predisposition or characteristic, disability, status as a victim of domestic violence, status as a veteran or member of the U.S. military and related obligations, or any other characteristic protected by law. This policy applies to all terms and conditions of employment, including but not limited to, recruitment, hiring, job placement, compensation, benefits, training and apprenticeship, employee development, promotion, demotion, discipline, transfer, lay-off and recall, and termination. RiseBoro makes reasonable accommodations based on religion and/or disability as required by law, and requests for accommodation are to be directed to the Human Resources Department.RequiredPreferredJob IndustriesOther



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



            Employment type
          

            Full-time
          



              Job function
            

              Information Technology
            



              Industries
            

            Non-profit Organization Management
            
















Referrals increase your chances of interviewing at RiseBoro Community Partnership by 2x

                See who you know"
GIS Analyst Intern - Summer 2025,City of Concord,"Concord, NH",1 hour ago,,Internship,Full-time,Information Technology,Government Administration,"DescriptionPOSITION AVAILABLEGIS ANALYST INTERN - SUMMER 2025DEPARTMENT: Community Development Department, Engineering DivisionTYPE OF EMPLOYMENT: Up to thirteen (13) weeks - May through August 2025, up to 40 Hours Weekly, DaysSTARTING HOURLY RANGE: $18.00-$20.00 with paid holidays.Application InstructionsInstructions for Applying: A City Application is required. An application may be completed online and submitted electronically by visiting the City of Concord web site at www.concordnh.gov . For more information on applying, call (603) 225-8535 (voice) or TTY at 800-735-2964 or 7-1-1.""An Equal Opportunity Employer M/F/DP/V""====================================================================Job SummaryPerforms responsible technical duties within the City of Concord, Engineering Services Division, under the general supervision of the City Engineer. Examples of DutiesDuties are varied and include, but not limited to, the following:Convert plan and map prints into geodatabase layersCollect data through ArcGIS field appsDevelop databases and online apps of bridge and dam inspections Field data collection using a Trimble GPS unitTypical QualificationsCurrently enrolled and taking courses toward a Bachelors or Masters in GIS, Geography or a related field.Must have successfully completed courses on ArcGIS Pro or ArcGIS Online.Knowledge of survey/engineering/GIS principles and methods preferred.Supplemental InformationApplications will be reviewed immediately upon receipt and accepted until the positions are filled. Applying before April 11, 2025 is preferred.For more information on applying, contact the Human Resources Department at (603) 225-8535, or Engineering Service Division at (603) 225-8520.A City application is required. Please apply online on www.concordnh.gov and uploading them to a profile.Or you may submit hard copies to the Human Resources Department, City of Concord, City Hall, 41 Green St., Concord, NH 03301.For more information visit www.concordnh.gov or call (603) 225-8535 (voice), or TTY at 1-800-735-2964 or 7-1-1.No e-mail or fax transmissions accepted.RequiredPreferredJob IndustriesOther



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Internship
          



            Employment type
          

            Full-time
          



              Job function
            

              Information Technology
            



              Industries
            

            Government Administration
            
















Referrals increase your chances of interviewing at City of Concord by 2x

                See who you know"
Data Analyst,Criteo France,"Boston, NY",1 day ago,,Entry level,Full-time,Information Technology,Advertising Services,"Hybrid -Boston, United States of AmericaNew York, United States of AmericaAnalytics Permanent - Full Time Job ID: r19307What You'll DoWhat You'll DoA Data Analyst on the Brand Analytics team is a key player in understanding every aspect of Criteo’s complex Retail Media business. This role interfaces across the organization to answer challenging analytical questions related to the performance and growth of Criteo’s Retail Media solutions. The person occupying this position will have an exceptionally broad view of every aspect of Criteo’s business with a focus on US Brands (Demand side). The scope involves both technically rigorous work, including the use leading-edge data analysis technologies, and daily interaction with other cross-functional business units, as well as external clients. Criteo’s high-growth business model brings both opportunities and challenges. This position involves dealing with a considerable amount of complex, real-world data and requires a candidate who is comfortable thinking of new and innovative ways to analyze data, solve problems, and think strategically. The ideal candidate can function with minimal oversight and has a strong ability to learn new concepts quickly.Develop intimate understanding of our client’s goals and needs, and partner with them and Commercial teams (Account Strategy and Sales) to formulate strategies for achieving joint objectives and ultimately grow our businessConduct ad-hoc analyses for top US Brands to maximize campaign health & performance, grow Demand and identify root cause of any performance issuesProvide client and industry shopper & category insights and present as appropriate to internal teams throughout the organization and to Criteo clients externally during calls and in-person presentationsManage controlled incrementality A/B tests from design, to execution, to analysis and presentation of resultsProactively identify and collect analytical, tooling and reporting needs from Commercial stakeholders; develop self-service tools and automated reports to answer these needs using Tableau, Python or any other relevant technologiesSpearhead both local and global initiatives and become subject matter expert as opportunities ariseMaintain deep knowledge of Criteo products, technologies, and position in the marketplaceDevelop understanding of Criteo buying methods, including direct and programmatic (real-time bidding) relationshipsWho You AreNative-level English fluencyBachelor’s degree or higher in a quantitative field (Mathematics, Economics, Engineering, Computer Science etc.Minimum 2 years full-time, analytics-relevant work experience – experience in the digital industry is preferredSQL proficiency is requiredBackground in any of the following is a plus: Python, Tableau, Vertica, Hive/HadoopKeen intellectual curiosity and ability to structure & solve difficult problems with minimalsupervisionPassion for translating ‘data-speak’ into relevant, compelling storiesExceptional attention to detail coupled with an ability to see the big pictureThorough conceptual and practical understanding of relational databases, data architecture/governance, and real-world application of statistical concepts (particularly in a testing context)Effective presentation and public speaking skills with the ability to present and defend complex analysis both internally and externally to both technical and non-technical audiences.A passion for story telling with data!Must have the combination of technical skills, passion for learning, and the soft skills to work with all personality types in a dynamic environmentWe acknowledge that many candidates may not meet every single role requirement listed above. If your experience looks a little different from our requirements but you believe that you can still bring value to the role, we’d love to see your application!Who We AreCriteo is the global commerce media company that enables marketers and media owners to deliver richer consumer experiences and drive better commerce outcomes through its industry leading Commerce Media Platform.At Criteo, our culture is as unique as it is diverse. From our offices around the world or from home, our incredible team of 3,600 Criteos collaborates to develop an open and inclusive environment. We seek to ensure that all of our workers are treated equally, and we do not tolerate discrimination based on race, gender identity, gender, sexual orientation, color, national origin, religion, age, disability, political opinion, pregnancy, migrant status, ethnicity, marital or family status, or other protected characteristics at all stages of the employment lifecycle including how we attract and recruit, through promotions, pay decisions, benefits, career progression and development. We aim to ensure employment decisions and actions are based solely on business-related considerations and not on protected characteristics. As outlined in our Code of Business Conduct and Ethics, we strictly forbid any kind of discrimination, harassment, mistreatment or bullying towards colleagues, clients, suppliers, stakeholders, shareholders, or any visitors of Criteo. All of this supports us in our mission to power the world’s marketers with trusted and impactful advertising encouraging discovery, innovation and choice in an open internet.Why Join UsAt Criteo, we take pride in being a caring culture and are committed to providing our employees with valuable benefits that support their physical, emotional and financial wellbeing, their interests and the important life events. We aim to create a place where people can grow and learn from each other while having a meaningful impact. We want to set you up for success in your job, and an important part of that includes comprehensive perks & benefits. Benefits may vary depending on the country where you work and the nature of your employment with Criteo. When determining compensation, we carefully consider a wide range of job-related factors, including experience, knowledge, skills, education, and location. These factors can cause your compensation to vary.For employees based in the US, certain roles at Criteo are eligible for additional rewards, including quarterly or annual bonus and restricted stock units. US-based employees receive access to healthcare, dental, and vision insurance, a 401(k) plan with company match, short-term and long-term disability coverage, life insurance, family forming and wellness benefits, Flexible Work financial support, learning opportunities, and a robust annual leave plan including volunteer time off and summer vacation days.The US base salary pay range for this position per year is:$77,600 - $98,000
        


        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



            Employment type
          

            Full-time
          



              Job function
            

              Information Technology
            



              Industries
            

            Advertising Services
            
















Referrals increase your chances of interviewing at Criteo France by 2x

                See who you know"
Busser,Don Tito,"Arlington, VA",1 hour ago,,Entry level,Full-time,Management and Manufacturing,Hospitality,"As busser, you set the stage for service: setting & clearing tables, assisting servers and attending to customers' needs. You should be a team player and enjoy working at a fast pace. If you're not already, you'll become a multitasking pro. With experience and a great attitude, this role could lead to more opportunities, like becoming a server.RequiredPreferredJob IndustriesFood & Restaurant



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



            Employment type
          

            Full-time
          



              Job function
            

              Management and Manufacturing
            



              Industries
            

            Hospitality
            
















Referrals increase your chances of interviewing at Don Tito by 2x

                See who you know"
Business Intelligence Analyst,Brown & Brown,"Plano, TX",1 hour ago,28 applicants,Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Insurance,"Built on meritocracy, our unique company culture rewards self-starters and those who are committed to doing what is best for our customers.Brown & Brown is seeking a Business Intelligence Analyst to join our growing team in Plano, TX!The Business Intelligence Analyst is responsible for transforming complex financial data and operation insurance data into actionable insights through interactive dashboards and compelling visualizations using Power BI. You will work closely with finance, sales and service teams to support strategic consulting approaches and decision-making for our clients through clear, data-driven reporting. The ideal candidate combines strong financial acumen with technical expertise in business intelligence tools, particularly Power BI, and an understanding of the insurance industry.How You Will ContributeAnalyze financial data and trends to provide actionable insights and recommendations. Develop and maintain Power BI dashboards and reports to support business decision-making. Collaborate with cross-functional teams to gather requirements and design data models. Perform financial forecasting, budgeting, and variance analysis. Assist in the preparation of financial statements and reports. Provide training and support to team members on Power BI tools and best practices. Ensure data accuracy and integrity in all financial reports and dashboards. Maintain a high level of confidentiality. Licenses And CertificationsCertification in Power BI or related technologies. Skills & Experience To Be SuccessfulBachelor's degree in Finance, Accounting, Business, or a related field. Minimum of 1-2 years of experience in financial analysis. Proficient to advance skill levels of Microsoft Excel Proficiency in Power BI, including DAX, Power Query, and data visualization techniques. Strong analytical and problem-solving skills. Excellent communication and interpersonal skills. Ability to work independently and as part of a team. Detail-oriented with a strong commitment to accuracy. Experience with other data visualization tools (e.g., Tableau, QlikView). (Preferred) Knowledge of SQL and database management. (Preferred) Familiarity with financial modeling and forecasting techniques. (Preferred) Teammate Benefits & Total Well-BeingWe go beyond standard benefits, focusing on the total well-being of our teammates, including:Health Benefits: Medical/Rx, Dental, Vision, Life Insurance, Disability Insurance Financial Benefits: ESPP; 401k; Student Loan Assistance; Tuition Reimbursement Mental Health & Wellness: Free Mental Health & Enhanced Advocacy ServicesBeyond Benefits: Paid Time Off, Holidays, Preferred Partner Discounts and more. Not reflective of all benefits. Enrollment waiting periods or eligibility criteria may apply to certain benefits. Benefit details and offerings may vary for subsidiary entities or in specific geographic locations.The Power To Be Yourself As an Equal Opportunity Employer, we are committed to fostering an inclusive environment comprised of people from all backgrounds, with a variety of experiences and perspectives, guided by our Diversity, Inclusion & Belonging (DIB) motto, “The Power to Be Yourself”.
        


        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Mid-Senior level
          



            Employment type
          

            Full-time
          



              Job function
            

              Research, Analyst, and Information Technology
            



              Industries
            

            Insurance
            
















Referrals increase your chances of interviewing at Brown & Brown by 2x

                See who you know"
Junior Data Engineer - Avendra International,Aramark,"Rockville, MD",1 hour ago,,Mid-Senior level,Internship,Information Technology,Hospitality,"Aramark provided pay range
          



        This range is provided by Aramark. Your actual pay will be based on your skills and experience — talk with your recruiter to learn more.
      

Base pay range

      $70,000.00/yr - $85,000.00/yr
    













Job DescriptionWe are looking for a motivated Junior Data Engineer to join our team. The ideal candidate will assist in delivering data solutions with a focus on the reporting layer and preparing data for business intelligence. This role involves working with Snowflake as the primary platform and collaborating with various stakeholders to ensure seamless data delivery and reportingThis position is hybrid and can be based out of either Rockville, MD at Avendra headquarters or Philadelphia, PA at Aramark headquarters.Job ResponsibilitiesAssist in ensuring data quality, integrity, and security across all data platforms.Help design and develop databases.Support the implementation of data integration and data pipeline processes.Collaborate with business stakeholders and BI teams to understand data requirements.Prepare data for the semantic layer to support business intelligence and reporting needs.Assist in designing and maintaining the reporting layer for data analysis and visualization.Develop or maintain reports in Power BI and Cognos under supervision.Work closely with senior data engineers and analysts.Stay updated with the latest trends and technologies in data architecture and reporting.QualificationsBachelor's degree in Computer Science, Information Technology, or a related field.1-3 years of experience or equivalent education in database design/development.Basic knowledge of SQL, data modeling tools, and data presentation tools.Familiarity with Snowflake, Oracle, and SQL Server.Exposure to data warehousing and BI tools such as Power BI and Cognos Analytics.Understanding of dimensional modeling and data integration concepts.Basic knowledge of cloud platforms (e.g., Azure, Google Cloud) and big data technologies.Strong problem-solving skills and attention to detail.Good communication and collaboration skills.Willingness to learn and adapt to new technologies and methodologies.BenefitsBENEFITS: Aramark offers comprehensive benefit programs and services for eligible employees including medical, dental, vision, and work/life resources. Additional benefits may include retirement savings plans like 401(k) and paid days off such as parental leave and disability coverage. Benefits vary by location and are subject to any legal requirements or limitations, employee eligibility status, and where the employee lives and/or works. For more information about Aramark benefits, click here Aramark Careers - Benefits & Compensation. ?Flexible work arrangementsGenerous PTO, Vacation and 9 paid holidaysVolunteer days, community partnerships, Employee Assistance ProgramEmployee discounts on select services and productsYour choice of three medical plan tiers, two carriers to choose from & My Healthy Changes well-being programAdoption Assistance & Paid Parental LeaveTuition Funding Sources and Scholarship ProgramsRetirement plan (401K or SIRP for those eligible) with match on annual contributionsCOMPENSATION: The salary range for this position is $70,000-85,000. This is Aramark?s good faith and reasonable estimate of the compensation for this position as of the time of posting.?There is no predetermined application window for this position, the position will close once a qualified candidate is selected. Qualified applicants with arrest or conviction records will be considered for employment in accordance with all applicable laws, including, but not limited to all applicable Fair Chance Ordinances and Acts. For jobs in San Francisco, this includes the San Francisco Fair Chance Ordinance.About AramarkOur MissionRooted in service and united by our purpose, we strive to do great things for each other, our partners, our communities, and our planet.At Aramark, we believe that every employee should enjoy equal employment opportunity and be free to participate in all aspects of the company. We do not discriminate on the basis of race, color, religion, national origin, age, sex, gender, pregnancy, disability, sexual orientation, gender identity, genetic information, military status, protected veteran status or other characteristics protected by applicable law.About AramarkThe people of Aramark proudly serve millions of guests every day through food and facilities in 15 countries around the world. Rooted in service and united by our purpose, we strive to do great things for each other, our partners, our communities, and our planet. We believe a career should develop your talents, fuel your passions, and empower your professional growth. So, no matter what you're pursuing - a new challenge, a sense of belonging, or just a great place to work - our focus is helping you reach your full potential. Learn more about working here at http://www.aramarkcareers.com or connect with us on Facebook, Instagram and Twitter.
        


        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Mid-Senior level
          



            Employment type
          

            Internship
          



              Job function
            

              Information Technology
            



              Industries
            

            Hospitality
            
















Referrals increase your chances of interviewing at Aramark by 2x

                See who you know"
Executive Assistant,Cardone Ventures,Greater Phoenix Area,1 hour ago,,Mid-Senior level,Full-time,Administrative,Business Consulting and Services,"Cardone Ventures provided pay range
          



        This range is provided by Cardone Ventures. Your actual pay will be based on your skills and experience — talk with your recruiter to learn more.
      

Base pay range

      $75,000.00/yr - $90,000.00/yr
    













Compensation: $75,000 to $90,000 annuallyOn-site Location: Scottsdale, AZPosition SummaryThe Executive Assistant directly supports the Executive through a variety of administrative duties and executive projects. These responsibilities include managing the executive’s calendars and extensive travel schedules, designing materials and presentations for meetings, and more. The Executive Assistant may be requested to support the executive in personal tasks such as ordering coffee and pickup dry cleaning.About Cardone VenturesOur mission is to help business owners achieve their personal, professional, and goals through the growth of their businesses. We work in dozens of verticals and provide strategic business guidance through courses, live events, partnerships, and investments. Our core values are the backbone of our business and guide our hiring process: we are inspirational, accountable, transparent, disciplined, aligned, and results oriented. This company operates nationally and is growing by the day.SUCCESS LOOKS LIKE The Executive is confident that their calendar is organized with meetings that are top priority so they can effectively move the most important initiatives forward The Executive is able to rely on the Executive Assistant to serve as a gatekeeper for information/meetings and ensure that critical items are not missed.OBJECTIVES Ensure all administrative responsibilities are fully executed with the utmost attention to detail, efficiency, and within deadlines Represent the executives and Cardone Ventures with a high level of professionalism, friendliness, maturity, and customer service in every interaction (internal and external), fostering genuine relationships and inspiring trust in the organization Guard the executive’s’ time and access as a gatekeeper, determining which meeting requests to approve or deny—in alignment with the executives’ priorities and the organization’s goals Take notes during Executive meetings and support with action item follow up Liaise between all departments and at all levels within the organization, tracking any outstanding action items to completion and confidently moving projects forward Follow applicable processes and procedures as well as write and maintain processes for their own responsibilities Manage personal assistant duties as needed Ensure all expense reportings are fully executed with the utmost attention to detail, efficiency, and within deadlinesCOMPETENCIES Proven experience in storing and retrieving digital files and maintaining databases Ability to manage multiple calendars, scheduling travel, monitoring multiple email inboxes Ability to take detailed recording note of meetings and coaching calls that identify main points and action items Ability to ensure action items are executed by the necessary stakeholder Can create agendas and other meeting materials Ability to resolve any issues presented by clients or staff, to include addressing complaints and designing solutions with the utmost professionalism and a desire for win-win outcomes Willingness and ability to work extended hours or weekends as needed to support client events or special projects Willingness to respond to texts, emails, and calls from executives, staff, and clients outside of standard office hours10X TOTAL REWARDSMedical, dental, and vision for FT positions and their dependentsVacation and sick time policy that increases based on tenure with the companyThree work from home days per month (4/month during June-August)Employee Assistance Program through Guardian401k with Company match Pet Insurance through SPOT for your 10X pets!Competitive parental leave policy: 100% paid - 8 weeks for primary caregiver, and 4 weeks for secondary caregiver + 1 month remote for bothEmployee wellness initiatives including a 100% paid for gym membership and access to discounts on local meal prep servicesProfessional Development through reimbursements for courses/certifications outside of CV, and a 10X Mentorship ProgramContinued Education: we provide team members complete access to our range of educational resources valued at over $250,000 in areas such as Sales, Operations, People, Finance and MarketingUncapped Commission Potential: all of our team members have the opportunity to sell our Products/Services (and are trained on how to do so). We have several examples of non-sales team members earning well over $20,000 in annual commissionEducation And Experience Master’s Degree in a business-related field preferred Must possess a valid/active driver’s license and a functioning vehicle 5 years’ work experience as an Executive Assistant or similar rolePhysical Requirements Prolonged periods sitting at a desk and working on a computer This position will require travel - up to 15%COMMITMENT TO DIVERSITYAs an equal opportunity employer committed to meeting the needs of a multigenerational and multicultural workforce Cardone Ventures recognizes that a diverse staff, reflective of our community, is an integral and welcome part of a successful and ethical business. We hire local talent at all levels regardless of race, color, religion, age, national origin, gender, gender identity, sexual orientation or disability, and actively foster inclusion in all forms both within our company and across interactions with clients, candidates and partners.If this position caught your eye, send us your resume! For best consideration, include the job title and source where you found this position in the subject line of your email to careers @cardoneventures.com. Already a Cardone Ventures candidate? Please connect directly with your recruiter to discuss this opportunity.
        


        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Mid-Senior level
          



            Employment type
          

            Full-time
          



              Job function
            

              Administrative
            



              Industries
            

            Business Consulting and Services
            
















Referrals increase your chances of interviewing at Cardone Ventures by 2x

                See who you know"
Business Analyst (Junior),CompQsoft,"Elizabeth City, NC",1 hour ago,,Entry level,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting,"ApplyJob TypeFull-timeDescriptionJob Title: Business Analyst (Junior)Location: Elizabeth City, NC (Onsite Work)Duration: Fulltime with CompQsoftClient: USCGFunctional ResponsibilityPerforms business and requirements analysis for enterprise applications.Meet with customers to acquire information to assemble and prepare requirements for user stories, statistical models, evaluations, and other needsCoordinate with other software and support development agents to support reporting and information sharing requirements.Provides technical advice and operating assistance in interpreting results through meetings, documentation repositories and other communication channels.Maintain and track action items and keep management and other team members updated on all.The candidate will also identify and develop methods, plans, and documents to streamline operating procedures/processes, reports, and systems to improve operations.RequirementsRequired Skills:A bachelor's degree in one of the following: Business Administration, Project Management, Mathematics, Computer Science, or a related area.2 years' experience in Business analytics and requirements generation in a software development environmentExperience in Agile lifecycle methodologyThe applicant is required to have intermediate experience in the following programs/software: o JIRA o Microsoft Office Suite Candidate must be able to work both independently and as part of a team. Candidate must possess strong oral communication and written comprehension capabilities.RequiredPreferredJob IndustriesOther



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



            Employment type
          

            Full-time
          



              Job function
            

              Research, Analyst, and Information Technology
            



              Industries
            

            IT Services and IT Consulting
            
















Referrals increase your chances of interviewing at CompQsoft by 2x

                See who you know"
General Interest,New Jersey State Office of Innovation,"Edison, NJ",1 hour ago,,Executive,Full-time,"Other, Information Technology, and Management",Government Administration,"The New Jersey State Office of InnovationThe New Jersey State Office of Innovation is looking for diverse and experienced team members to deploy world-class innovative and digital services that solve pressing public interest challenges for the people of New Jersey. Our work spans numerous issue and policy areas, and is focused on making an impact in the lives of the New Jerseyans that we serve. Our work has decreased the amount of time it takes to apply for Unemployment Insurance, made it easier to start, operate, and grow a business in the Garden State, and connected millions of New Jerseyans to government programs, services, and benefits.Our team members wear many hats, contributing to both the execution of core projects and the evolution of the Office of Innovation (OOI). We use data and modern research, design, and development methods to inform our decision making, and we collaborate with stakeholders within and outside of government to understand and solve challenges. To learn more about the New Jersey State Office of Innovation, read our inaugural impact report here and visit our About Us page.At the Office of Innovation, we're always seeking team members with diverse lived experiences who can use their expertise and experience to help shape our office so that we can be better at what we do. If we're not currently hiring for a role you are interested in but you're excited about the idea of working with us, join our general applicant pool and be considered for future roles.Submit a general interest application, and we'll be in touch when the right role for you comes around. When you apply, you'll be asked to fill out a short application so we can better match you with future positions.Learn more about our current open positions at https://innovation.nj.gov/join/.The New Jersey Office of Innovation is proud to be an equal opportunity employerWe are deeply committed to the principles of equity, diversity, and inclusiveness and seek to create a pluralistic community for all. We strongly encourage people of color, members of racial and ethnic minority groups, women, LGBTQI+ people, those with disabilities, and Veterans to apply. We are committed to building a team that is reflective of New Jersey's incredible diversity.We do not discriminate against any candidate because of color, race, age, religion, sex, gender identity or expression, sexual orientation, membership in an employee organization, pregnancy, marital status, status as a parent, ancestry, national origin, disability (physical or mental), family medical history or genetic information, political affiliation, military service, retaliation, or other non-merit based factors.EligibilityYou must be authorized to work in the United States. Candidates may be required to pass a background check and complete additional steps as part of the application and onboarding process. You will be considered an ""at-will"" employee, meaning both employer and employee have the right to terminate employment with or without cause or notice.RequiredPreferredJob IndustriesOther



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Executive
          



            Employment type
          

            Full-time
          



              Job function
            

              Other, Information Technology, and Management
            



              Industries
            

            Government Administration
            
















Referrals increase your chances of interviewing at New Jersey State Office of Innovation by 2x

                See who you know"
Systems Consultant - Student Services,Onondaga Cortland Madison BOCES,"Syracuse, NY",53 minutes ago,,Not Applicable,Full-time,Information Technology,Education Management,"Job ID: OCMN0341396-0000Job Type: Full Time (12 Month)Salary/Pay Rate:  Not ProvidedApplication Deadline: 04/30/2025Tentative Start Date:  To Be DeterminedCivil Service Title:  Systems Consultant - Student ServicesJob DescriptionFull-time 12 month opening located at OCM BOCES, Regional Information Center, Syracuse. NY. Responsible for supporting the effective use of on-line student management systems for K-12 schools. Creates end-user documentation for supported applications. Provides training to school professionals in the use of supported systems. District locations may range from Ithaca to Oswego to Syracuse and surrounding areas. This is a competitive class civil service position. Candidates will be considered for provisional appointment. Continued employment will be contingent on successfully passing the required examination and being reachable on the Systems Consultant - Student Services eligibility list. EOEWe don’t just accept difference — we celebrate it, support it, and thrive on it for the benefit of our employees and our community. We are proud to be an equal opportunity workplace.recblid 5xujaxth7mdbdj4ejgt2pmbjv2zej6
        


        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Not Applicable
          



            Employment type
          

            Full-time
          



              Job function
            

              Information Technology
            



              Industries
            

            Education Management
            
















Referrals increase your chances of interviewing at Onondaga Cortland Madison BOCES by 2x

                See who you know"
